Bhajan,Deity,Meaning,Level,Tempo,Language,Raga
Narayan Narayan Bhaja Mana Narayan ,Krishna,"Chant the sacred name of Narayana (Vishnu) in your mind.
Chant the name of Hari, Madhava, Narayana (different names 
for Vishnu). He is the enchanting blue complexioned One with 
the flute. He is my Lord Ram, he is Krishna, he is my perceptor Lord Sai",intermediate,medium fast,sanskrit / hindi,~ natabhairavi
Narayana Bhaja Narayana Narayana Bhaja Narayana Narayana ,Krishna,"Chant the name of Lord Narayana. Lord Narayana destroys evils and
demons; removes fear and confers peace of mind. Again and again, 
Lord Narayana has incarnated assuming various Forms, whenever 
devotees are in trouble. Destroying sins and infusing courage and 
patience, Lord Narayana saved the humanity. Chant the name of Lord 
Sai Narayana, who resides in Puttaparthi and in devotees' heart. 
Thou incarnated in all the Dasavataras. Chant the name of Lord of 
Puttaparthi, the up-lifter of fallen one - Lord Sai Narayana.",intermediate,medium,sanskrit / hindi,"pilu, abheri / bhimpalas"
Narayana Hari Naama Bhajore Narayana Veda Paarayana ,Krishna,"Chant the name of Narayana (Hari) who is described in the Vedas,
who wears the ornament of compassion, who destroys worldly fears 
and whose feet purify, who uplifts the fallen, Sathya Sai is Narayana himself.",advanced,medium fast,sanskrit / hindi,mishra maand
Narayana Hari Narayana ,Krishna,"Chant the various names of Shree Krishna, our Sai Krishna.",intermediate,medium fast,sanskrit / hindi,vakulabharanam / basant mukhari
Narayana Hari Narayana ,Krishna,"Chant the various names of Shree Krishna, our Sai Krishna.",intermediate,medium,sanskrit / hindi,~ shuddha dhanyasi
Narayana Hari Narayana ,Krishna,"Chant the various names of Shree Krishna, our Sai Krishna.",advanced,medium,sanskrit / hindi,maand
Narayana Hari Narayana ,Krishna,"Chant the various names of Shree Krishna, our Sai Krishna.",,,sanskrit / hindi,vasanthi / prateeksha
Narayana Hari Narayana ,Krishna,"Chant the various names of Shree Krishna, our Sai Krishna.",,,sanskrit / hindi,yaman kalyan
Narayana Hari Narayana ,Krishna,"Chant the various names of Shree Krishna, our Sai Krishna.",,,sanskrit / hindi,light music tune
Narayana Hari Narayana ,Krishna,"Hail to Narayana, God who comes in the form of man, bow to
Narayana with the lotus eyes, who rests on the ocean of milk, whom Narada 
praises.",intermediate,medium fast,sanskrit / hindi,vakulabharanam / basant mukhari
Narayana Hari Narayana ,Krishna,"Hail to Narayana, God who comes in the form of man, bow to
Narayana with the lotus eyes, who rests on the ocean of milk, whom Narada 
praises.",intermediate,medium,sanskrit / hindi,~ shuddha dhanyasi
Narayana Hari Narayana ,Krishna,"Hail to Narayana, God who comes in the form of man, bow to
Narayana with the lotus eyes, who rests on the ocean of milk, whom Narada 
praises.",advanced,medium,sanskrit / hindi,maand
Narayana Hari Narayana ,Krishna,"Hail to Narayana, God who comes in the form of man, bow to
Narayana with the lotus eyes, who rests on the ocean of milk, whom Narada 
praises.",,,sanskrit / hindi,vasanthi / prateeksha
Narayana Hari Narayana ,Krishna,"Hail to Narayana, God who comes in the form of man, bow to
Narayana with the lotus eyes, who rests on the ocean of milk, whom Narada 
praises.",,,sanskrit / hindi,yaman kalyan
Narayana Hari Narayana ,Krishna,"Hail to Narayana, God who comes in the form of man, bow to
Narayana with the lotus eyes, who rests on the ocean of milk, whom Narada 
praises.",,,sanskrit / hindi,light music tune
Narayana Hari Om Hari Om Hari Om ,Krishna,"Hail to Narayana, reclines on a recoiled serpent and is the
embodiment of peace; He is Vishnu who has a lotus rising from his navel (where Brahma resides).",simple,medium fast,sanskrit / hindi,pilu
Narayana Narayana Jaya Govinda Harey ,Krishna,"Glory to Narayana, who took the form of Krishna.",,,sanskrit / hindi,
Narayana Narayana Jaya Govinda Harey ,Krishna,"Glory to Narayana, who took the form of Krishna.",intermediate,medium,sanskrit / hindi,kanada
Nithyaanandam Satchitanandam ,Krishna,"Perpetual bliss, Glory to Sai Vishnu who is God, Embodiment of love and bliss.",simple,fast,sanskrit / hindi,natabhairavi
Om Namo Bhagavathey Vasudevaaya ,Krishna,"Adoration to the Lord Vishnu, Shiva, who abides and shines in all beings and is one with Om (Vishnu",simple,fast,sanskrit / hindi,natabhairavi
Om Namo Bhagavathey Vasudevaaya ,Krishna,"Adoration to the Lord Vishnu, Shiva, who abides and shines in all beings and is one with Om (Vishnu",simple,fast,sanskrit / hindi,natabhairavi
Paanduranga Paanduranga Vitthala Paahey ,Krishna,"Protect me. Protect me, O Lord Paanduranga ! O Lord Sai Naathha ! O
Lord of Pandharpura ! Thou art the supporter of those who are destitute",advanced,medium fast,sanskrit / hindi,keeravani
Paanduranga Vitthaley Hari Narayana ,Krishna,Chant the name of Lord : Paanduranga,,,sanskrit / hindi,pahadi
Paanduranga Vitthaley Hari Narayana ,Krishna,Chant the name of Lord : Paanduranga,,,sanskrit / hindi,vasanthi / prateeksha
Paanduranga Vitthaley Hari Narayana ,Krishna,"Chant the name of Lord Vitthala, Hari and Narayana.",,,sanskrit / hindi,pahadi
Paanduranga Vitthaley Hari Narayana ,Krishna,"Chant the name of Lord Vitthala, Hari and Narayana.",,,sanskrit / hindi,vasanthi / prateeksha
Purandara Ranga Harey Vitthala ,Krishna,"Chant the many names of Lord: Purandhara Ranga, Harey Vitthala, Murahari Ranga.",simple,medium fast,sanskrit / hindi,shankarabharanam / bilawal
Radhey Shyaam Paanduranga Vithaley Rakumai ,Krishna,"Chant the name of Lord Paanduranga, Vitthala and Radhey Shyaam.",simple,medium,sanskrit / hindi,hamsadhwani
Rama Krishna Govinda Narayana ,Krishna,"Chant the many names of the Lord - Rama, Krishna, Narayana, Govinda, Hari, Lord of Lakshmi,
Lord who is infinite (without beginning or end), Sai Narayana, Sathya Narayana",intermediate,medium,sanskrit / hindi,sindhu bhairavi / bhairavi
Rama Krishna Govinda Narayana ,Krishna,"Chant the many names of the Lord - Rama, Krishna, Narayana, Govinda, Hari, Lord of Lakshmi,
Lord who is infinite (without beginning or end), Sai Narayana, Sathya Narayana",,,sanskrit / hindi,yaman kalyan
Rama Krishna Govinda Narayana Keshava ,Krishna,"Chant the name of Lord: Rama, Krishna, Narayana, Keshava and Madhava",intermediate,medium,sanskrit / hindi,yaman kalyan
Rama Krishna Hari Mukunda Muraari ,Krishna,"Chant the names of the Lord: Rama, Krishna, Hari,
Mukunda, Murari, Paanduranga, Deva, Mahaadeva, Sathya Sai, Victory to Lord Paanduranga Hari",,,sanskrit / hindi,mohanam / bhoop
Rama Krishna Hari Mukunda Muraari ,Krishna,"Chant the names of the Lord: Rama, Krishna, Hari,
Mukunda, Murari, Paanduranga, Deva, Mahaadeva, Sathya Sai, Victory to Lord Paanduranga Hari",advanced,medium fast,sanskrit / hindi,abheri / bhimpalas
Rama Krishna Hari Narayana ,Krishna,"Chant the name of Lord Rama, Krishna, Narayana and Hari. Lord Sai
Narayana protects and liberates from bondage of life and death.",simple,medium fast,sanskrit / hindi,~ shankarabharanam / bilawal
Rama Krishna Jaya Bolo (Bhajamana) ,Krishna,"Let the mind worship and sing the glory of Rama and Krishna; Victory to Rama, Krishna and Sai Baba, Ram, the jewel of the
Raghu family, Krishna, Radha's Lord of dark blue complexion; Glory to Ram, glory to Krishna.",simple,medium,sanskrit / hindi,natabhairavi
Ranga Ranga Paanduranga Ranga Vitthala ,Krishna,"Chant the name of Lord Paanduranga, Vitthala and Sai.",,,sanskrit / hindi,hindolam / malkauns
Sankata Harana Govinda ,Krishna,"Chant the name of Govinda who removes every pain from your
heart. Meditate on the Lotus Feet of Sai Krishna. He is none 
other than Lord Venkateshwara of Tirupati of the seven hills.",,,sanskrit / hindi,kapi
Sankata Harana Govinda ,Krishna,"Chant the name of Govinda who removes every pain from your
heart. Meditate on the Lotus Feet of Sai Krishna. He is none 
other than Lord Venkateshwara of Tirupati of the seven hills.",intermediate,medium,sanskrit / hindi,maand
Sapaney Mey Aavo Shyaam Murari ,Krishna,"O Lord Shyaam Murari, welcome and kindly present Thy-Self in my
dream. O Charming-Complexioned One, with flute, thou art beloved 
of all. O Lord Giridhari, thou art Noble Teacher Lord Sai of Parthi.",intermediate,medium slow,sanskrit / hindi,sindhu bhairavi / bhairavi
Sathya Narayana Govinda Madhava Sai Narayana Govinda Keshava ,Krishna,"Sai is Krishna come again, Laxmi's Lord, the one with the
beautiful hair. Hail to Thee Lord Vishnu, who incarnates as Rama and Krishna and now as Sathya Sai.",simple,medium fast,sanskrit / hindi,~ harikamboji
Shesha Shaila Vaasa Narayana ,Krishna,"Chant the name of Lord Narayana, who is reclining on serpent coil;
guardian and protector of devotees; indweller of all beings; 
giver of the Sama Veda (one of the four Vedas) which is the basis 
of knowledge of art relating to rhythm, tunes and melodies (Ragas). 
Worship and chant the name of Lord Sathya Sai, who is the very embodiment of Lord Narayana",advanced,medium slow,sanskrit / hindi,~ madhuvanti
Shree Lakshmi Ramana Narayana ,Krishna,"Chant the Name of Lord Narayana, the Lord of Lakshmi, the Lord described in the Vedas.
Chant the Name of (Rama) the Lord of Seetha, who is the supremely unattached Lord Narayana (Vishnu), 
the Destroyer of all fear whose Feet are eternally worshipped by all",intermediate,slow,sanskrit / hindi,shubha pantuvarali / miyan ki todi
Shree Ranga Harey Vitthala Sai Ranga Harey Vitthala ,Krishna,"Lord Krishna, Lord Sai Vittala, of unlimited compassion and grace",advanced,medium,sanskrit / hindi,kalyani / yaman
Aanandamey Sai Naamamey ,Krishna,"There is happiness in reciting Lord Sai's name. It is
thrilling to sing His glory. Your Form is infinite, effulgent and brilliant.",intermediate,medium slow,tamil,revagupti
Aavo Aavo Hey Bhagawaan ,Krishna,"Welcome, Welcome Lord! Kindly bestow auspiciousness and
prosperity on all beings. O Ocean of extreme Grace! O Treasure 
of Supreme Virtues! O Omnipresent Indweller of Hearts! O Lord 
Sai (Swami)! Thou art infinite Truth.",advanced,medium fast,sanskrit / hindi,~ miyan ki malhar
Aavo Aavo Sai Pyaarey ,Krishna,"Welcome O Beloved Sai! I sing glory to Thee O Supreme Lord!
Thou art the support of my life and shining star of my eyes.",advanced,medium slow,sanskrit / hindi,kalyani / yaman
Aavo Prabhu Aavo Sai Bhagawaan ,Krishna,"Come Lord, Come Lord Sai, Lord Sathya Sai; grantor of Truth,
Righteousness, Peace and Pure Love; Upholder of the world, 
destroyer of feelings of sorrow; Come Lord, Life Force of Your devotees",advanced,medium,sanskrit / hindi,sindhu bhairavi / bhairavi
Aavo Pyarey Nayana Hamaarey Sai Hamaarey Aavo ,Krishna,"Welcome, Welcome! O Lord Sai! Thou art my eyes (means without
Thee I am blind and ignorant). Without Thee, there is no one to protect and grant me support.",intermediate,slow,sanskrit / hindi,darbari
Aavo Sai Narayana Darshana Deejo ,Krishna,"Come Lord Sai, give us your dharshan; You are the ruler and
creator of this Universe; You are the Lord of all; You are 
Brahma, You are Vishnu; You are the embodiment of Shiva.",intermediate,medium,sanskrit / hindi,mohanam / bhoop
Akhanda Jyothi Jalaavo Sai Mana Mandir Mey ,Krishna,"Sai Baba, illumine my mind. Light up in the temple of my mind
a flame (of knowledge) that will glow continuously. You, my Lord, 
have the effulgence of ten million suns. Make my mind aglow with 
the flame of divinity, flame of knowledge and the flame of love, 
and make it glow for ever and ever.",advanced,medium,sanskrit / hindi,mohanam / bhoop
Allah Bhajo Maula Bhajo Hey Allah Sai Bhagawaan ,Krishna,"Worship Allah, Sathya Sai, Rama, Krishna, Nanak, Buddha, Zorastra, Mahavir and Shirdi Sai.",intermediate,medium fast,sanskrit / hindi,~ keeravani
Allah Bhajo Maula Bhajo Hey Allah Sai Bhagawaan ,Krishna,"Worship Allah, Sathya Sai, Rama, Krishna, Nanak, Buddha, Zorastra, Mahavir and Shirdi Sai.",intermediate,medium fast,sanskrit / hindi,~ keeravani
Anaathha Bandhoo Sai Prabhoo ,Krishna,"O Lord Sai, Thou art the closest relative of the orphaned.
Kindly forgive our wrong doings. Be with us in our 
journey of life. Grant us love and devotion. Be constantly in 
our thoughts and heart and grant us service at Thy Lotus Feet.",intermediate,medium,sanskrit / hindi,keeravani
Anthar Jyothi Jalaavo Sai ,Krishna,"Light the light within, Sai; Eternal creator, be compassionate;
Be compassionate, all pervasive, effulgent one; Divine father 
and mother, give us your grace; Uplifter and saviour of all who 
are troubled; Mother of creation, protect us.",advanced,slow,sanskrit / hindi,kalyani / yaman
Anthar Jyothi Namo Paramaatma Jyothi Namo ,Krishna,"To the inner, supreme light of God, I bow; To the eternal light
which is the essence of my life, I bow; To the indwelling Lord, 
to the true guru Sathya Sai, I bow.",simple,medium fast,sanskrit / hindi,mohanam / bhoop
Anthar Jyothi Namo Paramaatma Jyothi Namo ,Krishna,"To the inner, supreme light of God, I bow; To the eternal light
which is the essence of my life, I bow; To the indwelling Lord, 
to the true guru Sathya Sai, I bow.",simple,medium fast,sanskrit / hindi,mohanam / bhoop
Antharanga Sai Anaathha Naathha Sai ,Krishna,"O! Indweller Lord Sai! Thou art supporter of those who have no
support and shelter. O! protector of the fallen and miserables! 
O! Incarnation of the present Kali age, Lord Sathya Sai Baba! Thou art Rama, Krishna, Shiva and Shakti.",advanced,medium slow,sanskrit / hindi,~ pilu
Antharyaami Sai Muraari ,Krishna,"O Lord Sai! Indweller of the heart and benefactor to those
distressed. Mysterious is the power 
of the name ""Sai"" which helps to cross the ocean of life and death. Chant ""Sai Ram, Sai Ram"".",intermediate,medium fast,sanskrit / hindi,hindolam / malkauns
Aravinda Lochana Aartha Janaavana ,Krishna,"O Lotus-eyed Lord Narayana! Protector of those who have fallen
into misfortune and calamities, oppressed, sick and unhappy. 
Son of Mother Eeswaramma! You are forgiver and remover of faults and provider of auspiciousness.",advanced,medium slow,sanskrit / hindi,~ darbari
Beda Paar Karo Merey Sai ,Krishna,"O Lord Sai Baba! Uplift and help me to fulfill my mission of
crossing the ocean of life and death. O Lord Sai Baba! Thou art 
Allah, Eeshwar ad Shirdi Baba. Shower mercy, grace and compassion on us.",intermediate,medium,sanskrit / hindi,sindhu bhairavi / bhairavi
Beda Paar Karo Merey Sai ,Krishna,"O Lord Sai Baba! Uplift and help me to fulfill my mission of
crossing the ocean of life and death. O Lord Sai Baba! Thou art 
Allah, Eeshwar ad Shirdi Baba. Shower mercy, grace and compassion on us.",intermediate,medium,sanskrit / hindi,sindhu bhairavi / bhairavi
Bhagawaan Krishna Namo Bhagawaan Krishna Namo ,Krishna,"Lord Krishna, Lord Rama, Who is saviour and uplifter of
afflicted and miserables. Sathya Sai, who is above and beyond 
time and the very embodiment of all virtues and success; All- 
pervading Shiva, Who sustains the entire creation; Omniscient 
Lord, Who is the indweller of all hearts.",intermediate,medium slow,sanskrit / hindi,shivaranjani
Bhajo Bhajo Ram Sathya Sai Ram ,Krishna,"Worship Lord Sai Bhagwan. Who has incarnated in Kali Age to
uplift humanity and lead us to deliverance.",intermediate,medium fast,sanskrit / hindi,~ natabhairavi
Bhajo Bhajo Ram Sathya Sai Ram ,Krishna,"Worship Lord Sai Bhagwan. Who has incarnated in Kali Age to
uplift humanity and lead us to deliverance.",intermediate,medium fast,sanskrit / hindi,~ natabhairavi
Bhajorey Bhaai Sai Ram ,Krishna,"Worship Lord Sai Ram, Lord of Puttaparthi, Dwaraka and Shirdi.
He is always granting happiness to all",intermediate,medium,sanskrit / hindi,shankarabharanam / bilawal
Bhajorey Bhaai Sai Ram ,Krishna,"Worship Lord Sai Ram, Lord of Puttaparthi, Dwaraka and Shirdi.
He is always granting happiness to all",simple,medium,sanskrit / hindi,~ shankarabharanam / bilawal
Bhajorey Maanasa Sai Rama ,Krishna,"O Mind! Worship Lord Sai Ram of Parthipuri. O Lord Sai!
Devotees pray to Thee as: Eeshwara, Allah, Christ, Buddha, Mahavir, Shirdi Sai Ram and Parthi Sai Ram",intermediate,medium fast,sanskrit / hindi,natabhairavi
Bhajorey Maanasa Sai Rama ,Krishna,"O Mind! Worship Lord Sai Ram of Parthipuri. O Lord Sai!
Devotees pray to Thee as: Eeshwara, Allah, Christ, Buddha, Mahavir, Shirdi Sai Ram and Parthi Sai Ram",intermediate,medium fast,sanskrit / hindi,natabhairavi
Bhaktho Ne Hai Aja Pukaara ,Krishna,"Welcome, Lord Sai. Everyone is praying for Thee to come. Thou
art the support of all. Lord Sai, Shirdi, Lord of Parthi, Lord 
of Mathura, Lord of Ayodhya, Lord of Mecca, Lord of Medina. Please come, do come.",intermediate,medium fast,sanskrit / hindi,mayamalavagowla / bhairav
Bhaktho Ne Hai Aja Pukaara ,Krishna,"Welcome, Lord Sai. Everyone is praying for Thee to come. Thou
art the support of all. Lord Sai, Shirdi, Lord of Parthi, Lord 
of Mathura, Lord of Ayodhya, Lord of Mecca, Lord of Medina. Please come, do come.",intermediate,medium fast,sanskrit / hindi,mayamalavagowla / bhairav
Bhava Saagar Sey Paar Utaaro ,Krishna,"Hey Lord Sainath, help us cross the ocean of samsaara (of births
and deaths); Allah, Jesus, Buddha and Mahaveer 
Thou art the single principle representing all these names; 
Thou art verily the protector of all different faiths, Hey Sai, the Lord",advanced,medium,sanskrit / hindi,hamir kalyani / kedar
Bhava Saagar Sey Paar Utaaro ,Krishna,"Hey Lord Sainath, help us cross the ocean of samsaara (of births
and deaths); Allah, Jesus, Buddha and Mahaveer 
Thou art the single principle representing all these names; 
Thou art verily the protector of all different faiths, Hey Sai, the Lord",advanced,medium,sanskrit / hindi,hamir kalyani / kedar
Bolo Jai Bolo Jai Sathya Sai Ki Jai Bolo Sathya Sai Ki Jai ,Krishna,"Chant 'Victory to Sai, Victory to Sathya Sai, Victory to the One
who lives in Parthi, Victory to 
the One who is the most saced Lord, Victory to Lord Narayana who has come in human form (Lord Baba)'. 
Oh Sai, You are the embodiment of righteousness, You have come to uplift the humanity and You belong to the 
Bharadwaja Gothra (subsect within the Hindu religion). Oh dear son of Eeshwaramba, Oh Sai, victory to You.",intermediate,medium,sanskrit / hindi,hamsadhwani
Bolo Ram Sai Ram Sathya Sai Ram ,Krishna,"Chant the name of Sai Ram, Hari, Narayana. Victory to Lord Ram,
Krishna and Sai Ram who is extremely compassionate and merciful.",intermediate,medium fast,sanskrit / hindi,~ pilu
Brahmaanda Naayaka Baba Parthipureeshwara Baba ,Krishna,"O Baba! Lord of creation, O Baba! Lord of Parthi, You made the moon and the sun
You made the rivers and the oceans; And also the city of Dwaraka and Ayodhya 
And you made Shirdi and Parthi; O Baba! Lord of Supreme Bliss and Lord of Parthi",advanced,slow,sanskrit / hindi,natabhairavi
Brahma Swaroopa Naada Swaroopa ,Krishna,"Worship Lord of the Lords, Lord Sathya Sai, Who is Brahma (Infinite), who is the embodiment of all sounds, Divine and Effulgent One.",advanced,medium slow,sanskrit / hindi,shubha pantuvarali / miyan ki todi
Charana Kamala Bandho Sai Naathha Key Charana Kamala Bandho ,Krishna,"The lotus feet of Lord Sai are our closeset companion; Whoever
thirsts for his nectarlike lotus feet will come and be filled 
with blissfulness throughout his entire life time.",simple,medium fast,bengali,natabhairavi
Chittha Raaja Chittha Raaja ,Krishna,"O Lord of Parthi and King of my consciousness! Thou hast a charming,
beautiful loving Lotus Face. Thou art the bestower of auspiciousness.",intermediate,medium slow,sanskrit / hindi,mishra kapi
Daanava Bhanjana Rama Sai Shyaamala Komala Ram ,Krishna,"Charming, sweet Ram, You killed the demons (Danavas). The
delight of Dasharatha; You are the Ocean of Compassion. Ram, 
You are the Lord of the helpless, come again as Sai.",intermediate,medium,sanskrit / hindi,pilu
Darshana Deejo Bhagawan ,Krishna,"Hey Lord, grant us Your vision; Oh Lord, the supremely compassionate,
You are without beginning or end and You have the most wonderful form 
You are the bestower of joy, protector of those who take refuge in You 
You are the embodiment of Love, bestower of peace; 
Lord Sathya Sai, Thou art verily 'existence - knowledge - bliss'",intermediate,medium fast,sanskrit / hindi,darbari
Darshana Doo Darshana Doo ,Krishna,"O Lord Sai! Pray to Thee to kindly present Thyself. Thou art
King amongst dancers (Natawara); merciful towards miserables; 
Thou art extremely graceful and ocean of compassion. Kindly present Thyself",advanced,,sanskrit / hindi,chakravakam / ahir bhairav
Dayaa Karo Hari Narayana ,Krishna,"O Lord Hari Narayan! Have mercy and shower grace on us. O
Lord of Parthipuri, Shree Sai Ram! Who is kind and merciful towards the forlorn. Grant us Grace.",intermediate,medium,sanskrit / hindi,~ darbari
Dayaa Karo Hari Narayana ,Krishna,"O Lord Hari Narayan! Have mercy and shower grace on us. O
Lord of Parthipuri, Shree Sai Ram! Who is kind and merciful towards the forlorn. Grant us Grace.",advanced,medium,sanskrit / hindi,darbari
Dayaa Karo Hey Dayaa Nidhey Hey Bhagawan ,Krishna,"O Treasure of Compassion! Have mercy. I surrender (with body,
mind and prosperity and all) at Thy Lotus Feet. O Infinite immortal Lord Hari! Thou art all pervading.",advanced,slow,sanskrit / hindi,shubha pantuvarali / miyan ki todi
Dayaa Karo Hey Karuna Nidhan Sai ,Krishna,"O Lord Sai! O Treasure of Grace and Compassion! Kindly bless
us with grace and mercy. O Indweller of Heart! O Resident of Parthi! Pray Thee to grant us grace and mercy.",advanced,medium slow,sanskrit / hindi,bageshri
Deena Baandhava Baba Dayaa Saagara ,Krishna,"Hey Baba! Thou art the friend of the meek and the humble!
Thou art the ocean of mercy! Sai Ram, the saviour of the fallen, 
Oh merciful One, Sathya Sai, Prema Sai, You established Peace 
and Righteousness; Thou art the very basis of life, Mother Sai",intermediate,medium,sanskrit / hindi,bihag
Deena Bandhava Shree Sai Deva ,Krishna,"O Lord Sai! Thou art kinsman and relation of the dejected and
afflicted. O Lord of Lords! O Ocean of Mercy! O Lord 
Sayeeshwara! Kindly protect me. O Omnipresent mighty powerful Lord 
of the Universe! Thou hast assumed the body of Lord Sathya Sai. I surrender to Thee.",advanced,medium,sanskrit / hindi,mishra shivaranjani
Deena Dukhiyon Key Taran Karan ,Krishna,"O Lord Sai Baba! Thou art the destroyer of miseries and pains.
Thou hast cometh as Messenger for revival of righteousness and 
guiding devotees. Thou art the destroyer of fear and cycle of 
birth and death. Chant the name of the Lord of Parthi, Lord Sai Ram.",advanced,medium,sanskrit / hindi,mishra chandrakauns
Devadevothama Deena Samrakshaka ,Krishna,"O Lord Shree Sai! Thou art: Most Supreme among Gods; Protector of
afflicted; Lord of all Lords; Grantor of grace; uplifter of 
fallen and miserables; Destroyer of sins; Creator of Bhashma - 
sacred ashes - vibuti, symbol of renunciation; Remover of fear 
of bondage of birth and death. O Lord Sai! Thy Play-Sport (in the Universe) is mysterious.",advanced,medium,sanskrit / hindi,kalyani / yaman
Eeshwar Allah Therey Naam Sai Tere Naam ,Krishna,"Eeshwara (Shiva), Allah are Thy names; Hey Sathya Sai Rama, who likes all faiths,
Sai You are Allah, the Merciful; You are Jesus and Mahaveera too; 
So also Govinda and Gopaala (names of Krishna) and also Guru Nanak; Oh Lord You love all faiths equally",intermediate,medium fast,sanskrit / hindi,sindhu bhairavi / bhairavi
Eeshwar Allah Therey Naam Sai Tere Naam ,Krishna,"Eeshwara (Shiva), Allah are Thy names; Hey Sathya Sai Rama, who likes all faiths,
Sai You are Allah, the Merciful; You are Jesus and Mahaveera too; 
So also Govinda and Gopaala (names of Krishna) and also Guru Nanak; Oh Lord You love all faiths equally",intermediate,medium fast,sanskrit / hindi,sindhu bhairavi / bhairavi
Eeshwaramba Nandana Jagat Vidhaata ,Krishna,"Son of Eashwaramma, Sai Baba, creator of
the universe, dweller of Puttaparthi, noble Lord and Teacher, O 
lotus-eyed One, indweller of devotees' hearts, O Sai Krishna, 
incarnation of this age, bestow Thy Grace on us, make us merge in You.",advanced,medium,sanskrit / hindi,~ yaman kalyan
Eeshwaramba Nandana Jagat Vidhaata ,Krishna,"Son of Eashwaramma, Sai Baba, creator of
the universe, dweller of Puttaparthi, noble Lord and Teacher, O 
lotus-eyed One, indweller of devotees' hearts, O Sai Krishna, 
incarnation of this age, bestow Thy Grace on us, make us merge in You.",advanced,medium,sanskrit / hindi,~ yaman kalyan
Eeshwaramba Priya Thanayaa Sai Narayana ,Krishna,"Chant the name of beloved son of Mother Eeswaramma, Lord Sathya
Sai Narayana, Who has incarnated in the present Kali age and Who is all-pervading.",advanced,slow,sanskrit / hindi,chakravakam / ahir bhairav
Eeshwaramma Priya Nandana ,Krishna,"O Loving Prince of Mother Eeswaramma! Thou art bliss and
entire Universe pay obeisance to Thee. O Lord Krishna of Yadu 
Dynasty! Thou hast charmed the entire creation with Thy singing.",intermediate,medium fast,sanskrit / hindi,sindhu bhairavi / bhairavi
Eeshwaramma Priya Nandana ,Krishna,"O Loving Prince of Mother Eeswaramma! Thou art bliss and
entire Universe pay obeisance to Thee. O Lord Krishna of Yadu 
Dynasty! Thou hast charmed the entire creation with Thy singing.",advanced,medium,sanskrit / hindi,desh
Harey Sai Harey Sai Sai Sai Harey Harey ,Krishna,"Chant the many Divine names of Lord : Sai Baba, Achyuta, Keshava,
Rama, Narayana, Krishna, Damodara, Madhava, Vallabha. Chanting the names destroys the sins.",intermediate,medium fast,sanskrit / hindi,kapi
Hari Bolo Harey Ram Naam ,Krishna,"Chant the Divine names of Lord Rama, Lord Krishna and Lord Sathya Sai",intermediate,medium fast,sanskrit / hindi,sumanesa ranjani / madhukauns
Hari Hari Bhajomana Sairam Bhajorey ,Krishna,"Worship God in the form of Rama; Worship Him as Krishna and Sai; Sing His glory as form of Ram;
Sing the names of Krishna, Madhava, Mukunda, Vitthala and Govinda",intermediate,slow,sanskrit / hindi,shubha pantuvarali / miyan ki todi
Hari Naam Gaathey Chalo Sai Naam Gaathey Chalo ,Krishna,"Move on singing Sai's name which is no different from
Hari's name. Sing Madhava, Govinda, Vittala, Sai as you continue your journey in life",intermediate,medium fast,sanskrit / hindi,charukeshi
Hari Om Namo Shiva Shakti Namo ,Krishna,"I bow to Hari, Shiva and Shakti; I bow to Lord Sathya Sai who is the true teacher
I bow to Seetha and Rama; I bow to the dark blue Lord Krishna, Radha's Lord",intermediate,medium fast,sanskrit / hindi,shankarabharanam / bilawal
Hey Brahma Hey Vishnu ,Krishna,"O Brahma O Vishnu, Compassionate Supreme Lord, Sathya Sai, Supreme Lord
O Brahma, O Vishnu, Embodiment of Shiva-Shakti, Lord Sai; Sai, the full and effulgent incarnation of God",intermediate,medium,sanskrit / hindi,~ madhyamavati / madhmad sarang
Hey Deena Dayalo Sai Rama Ram ,Krishna,"O Sai Rama, compassionate to the poor and helpless, Supreme giver of grace, Sai Baba,
Lord Sai! Lord Rama! O Sai baba, uplifter of helpless 
Sai Baba, giver of tender affection to His devotees, Lord Sai! Lord Rama!",simple,medium fast,sanskrit / hindi,sindhu bhairavi / bhairavi
Hey Ram Bhagawaan ,Krishna,"Hey Ram, Sai, You are the ocean of compassion, helper of the
helpless, the lover of devotees, please blessme. 
Oh Lord, You are the life of Janaki (Seetha), You are the 
resident of Parthi, please grace me and uplift me",intermediate,medium slow,sanskrit / hindi,pilu
Hey Ram Parthipureeswara Ram ,Krishna,"O Lord Ram, Thou has incarnated as Lord Sai Ram of Partipuri.
You are dear to Vaidehi (Seetha); You uplift the fallen. You are adorned by the gems and jewels, You 
are the loving Prince of Mother Kausalya. Hey, slayer of the demon Ravana, You are 
worshipped by Hanuman (devotee",advanced,medium slow,sanskrit / hindi,shubha pantuvarali / miyan ki todi
Hey Sai Jagannatha Hey Sai Jagannatha Hey Sai Jagannatha ,Krishna,"Oh Sai Thou art the Lord of the Universe; Thou art the friend of
the meek and humble; Thou art the personification of compassion, Oh 
Lord of the Universe, Lord of Shirdi and Parthi",simple,medium fast,sanskrit / hindi,shankarabharanam / bilawal
Hey Sai Ranga Hey Paanduranga ,Krishna,"O Lord Sai Ranga! O Lord Panduranga! Thou art full of infinite mercy
and reciting Thy name creates the wave of sublime feelings and emotions 
in the heart. Victory to Lord Sai Ranga, who is all Bliss and ever in Bliss",advanced,slow,sanskrit / hindi,"keeravani, sarasangi / nat bhairav"
